Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Côte d'Ivoire,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",26.16464100492888,19.71684038002825,33.787706818867214
Cameroon,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",24.580299231367437,17.85377160345022,32.631551761349186
Democratic Republic of the Congo,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",28.88290162898804,20.503108600824852,37.46899788525982
Congo,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",35.668043653436,24.664319430370764,48.44018610642047
Cook Islands,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",22.463720104748933,18.879088360683717,26.896577422053728
Colombia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",23.357776711870052,19.603121311972796,27.446812132932944
Comoros,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",41.31018649339868,32.230515885589305,51.62118143226463
Cabo Verde,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",30.639468806029736,21.90155510897759,38.273174927590034
Costa Rica,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",35.90279978966842,31.561297331317313,40.05937454948063
Cuba,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",40.48992166896197,35.21646504617667,46.07055196926823
Cyprus,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",25.728645859680768,22.117904018325653,29.64602738406893
Czechia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",47.80873777203854,42.511990953695026,53.54837799120463
Germany,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",53.217096476927594,47.379998351228565,57.29746294941226
Djibouti,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.29263347862152,23.3645877605141,47.32252406678795
Dominica,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.23390739099658,27.503478369110958,40.519070024415406
Denmark,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",39.24446817571736,34.948742093472234,41.85137560566256
Dominican Republic,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",32.07842236832641,20.98602838613115,43.19988706084198
Algeria,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",13.029711057721276,10.349754507234739,17.027770612743193
Ecuador,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",31.806153403722966,25.579341486580617,38.986566891325765
Eritrea,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",41.50812287954831,30.690510291714563,54.845611363769756
Spain,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",46.13182169262966,38.90093712318665,50.38952571514636
Estonia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",48.647046731168516,42.3867113250387,54.180471279521946
Ethiopia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",28.82690072544785,24.283321046154562,33.65015993873443
Finland,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",43.76151132336449,39.22434850455288,46.94220276272451
Fiji,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",16.872924293359883,12.706308739007921,21.720513823310796
France,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",43.871888878848466,38.13361192505904,47.72177623650822
Micronesia (Federated States of),2021,All ages,Both,Digestive diseases,"Deaths per 100,000",32.3910741902997,23.738871916200868,43.91851557212603
Gabon,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.77254178422719,24.07834436230908,45.92709206905961
United Kingdom,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",46.57723888582681,41.79266344116465,49.09637832376107
Georgia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",56.16008092456566,50.36721626973561,61.92538368462885
Ghana,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",29.931961638629897,23.156671072518886,37.70181252139994
